
************************************************
Report:               average power
Design:               evlpMultiplier16
Library File(s):      /home/cad/TSMC/18/synopsys/typical.db
Simulation period[1]: 0 ns - 296801 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Thu Jul 26 14:18:00 2007
************************************************

operating_condition_max_name: typical Library: typical

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier16 UMC18_Conservative typical library default
src_sel_ff         evMS_FlipFlop UMC18_Conservative typical library default
src_sel_mux        evMUX2_1_85  UMC18_Conservative typical library default
adder              evlpRCAdder_wdt16 UMC18_Conservative typical library default
adder/adder_0      evLPFA_15    UMC18_Conservative typical library default
adder/adder_0/inv  evCINV_15    UMC18_Conservative typical library default
adder/adder_0/mx1  evMUX2_1_67  UMC18_Conservative typical library default
adder/adder_0/mx2  evMUX2_1_66  UMC18_Conservative typical library default
adder/adder_0/mx3  evMUX2_1_65  UMC18_Conservative typical library default
adder/adder_0/mx4  evMUX2_1_64  UMC18_Conservative typical library default
adder/adder_1      evLPFA_14    UMC18_Conservative typical library default
adder/adder_1/inv  evCINV_14    UMC18_Conservative typical library default
adder/adder_1/mx1  evMUX2_1_63  UMC18_Conservative typical library default
adder/adder_1/mx2  evMUX2_1_62  UMC18_Conservative typical library default
adder/adder_1/mx3  evMUX2_1_61  UMC18_Conservative typical library default
adder/adder_1/mx4  evMUX2_1_60  UMC18_Conservative typical library default
adder/adder_2      evLPFA_13    UMC18_Conservative typical library default
adder/adder_2/inv  evCINV_13    UMC18_Conservative typical library default
adder/adder_2/mx1  evMUX2_1_59  UMC18_Conservative typical library default
adder/adder_2/mx2  evMUX2_1_58  UMC18_Conservative typical library default
adder/adder_2/mx3  evMUX2_1_57  UMC18_Conservative typical library default
adder/adder_2/mx4  evMUX2_1_56  UMC18_Conservative typical library default
adder/adder_3      evLPFA_12    UMC18_Conservative typical library default
adder/adder_3/inv  evCINV_12    UMC18_Conservative typical library default
adder/adder_3/mx1  evMUX2_1_55  UMC18_Conservative typical library default
adder/adder_3/mx2  evMUX2_1_54  UMC18_Conservative typical library default
adder/adder_3/mx3  evMUX2_1_53  UMC18_Conservative typical library default
adder/adder_3/mx4  evMUX2_1_52  UMC18_Conservative typical library default
adder/adder_4      evLPFA_11    UMC18_Conservative typical library default
adder/adder_4/inv  evCINV_11    UMC18_Conservative typical library default
adder/adder_4/mx1  evMUX2_1_51  UMC18_Conservative typical library default
adder/adder_4/mx2  evMUX2_1_50  UMC18_Conservative typical library default
adder/adder_4/mx3  evMUX2_1_49  UMC18_Conservative typical library default
adder/adder_4/mx4  evMUX2_1_48  UMC18_Conservative typical library default
adder/adder_5      evLPFA_10    UMC18_Conservative typical library default
adder/adder_5/inv  evCINV_10    UMC18_Conservative typical library default
adder/adder_5/mx1  evMUX2_1_47  UMC18_Conservative typical library default
adder/adder_5/mx2  evMUX2_1_46  UMC18_Conservative typical library default
adder/adder_5/mx3  evMUX2_1_45  UMC18_Conservative typical library default
adder/adder_5/mx4  evMUX2_1_44  UMC18_Conservative typical library default
adder/adder_6      evLPFA_9     UMC18_Conservative typical library default
