
************************************************
Report:               average power
Design:               evlpMultiplier16
Library File(s):      /home/cad/TSMC/13/synopsys/typical.db
Simulation period[1]: 0 ns - 29681 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Tue Aug 14 19:40:20 2007
************************************************

operating_condition_max_name: typical Library: typical

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier16 TSMC13_Conservative typical library default
src_sel_ff         evMS_FlipFlop TSMC13_Conservative typical library default
src_sel_mux        evMUX2_1_85  TSMC13_Conservative typical library default
adder              evlpRCAdder_wdt16 TSMC13_Conservative typical library default
adder/adder_0      evLPFA_15    TSMC13_Conservative typical library default
adder/adder_0/inv  evCINV_15    TSMC13_Conservative typical library default
adder/adder_0/mx1  evMUX2_1_67  TSMC13_Conservative typical library default
adder/adder_0/mx2  evMUX2_1_66  TSMC13_Conservative typical library default
adder/adder_0/mx3  evMUX2_1_65  TSMC13_Conservative typical library default
adder/adder_0/mx4  evMUX2_1_64  TSMC13_Conservative typical library default
adder/adder_1      evLPFA_14    TSMC13_Conservative typical library default
adder/adder_1/inv  evCINV_14    TSMC13_Conservative typical library default
adder/adder_1/mx1  evMUX2_1_63  TSMC13_Conservative typical library default
adder/adder_1/mx2  evMUX2_1_62  TSMC13_Conservative typical library default
adder/adder_1/mx3  evMUX2_1_61  TSMC13_Conservative typical library default
adder/adder_1/mx4  evMUX2_1_60  TSMC13_Conservative typical library default
adder/adder_2      evLPFA_13    TSMC13_Conservative typical library default
adder/adder_2/inv  evCINV_13    TSMC13_Conservative typical library default
adder/adder_2/mx1  evMUX2_1_59  TSMC13_Conservative typical library default
adder/adder_2/mx2  evMUX2_1_58  TSMC13_Conservative typical library default
adder/adder_2/mx3  evMUX2_1_57  TSMC13_Conservative typical library default
adder/adder_2/mx4  evMUX2_1_56  TSMC13_Conservative typical library default
adder/adder_3      evLPFA_12    TSMC13_Conservative typical library default
adder/adder_3/inv  evCINV_12    TSMC13_Conservative typical library default
adder/adder_3/mx1  evMUX2_1_55  TSMC13_Conservative typical library default
adder/adder_3/mx2  evMUX2_1_54  TSMC13_Conservative typical library default
adder/adder_3/mx3  evMUX2_1_53  TSMC13_Conservative typical library default
adder/adder_3/mx4  evMUX2_1_52  TSMC13_Conservative typical library default
adder/adder_4      evLPFA_11    TSMC13_Conservative typical library default
adder/adder_4/inv  evCINV_11    TSMC13_Conservative typical library default
adder/adder_4/mx1  evMUX2_1_51  TSMC13_Conservative typical library default
adder/adder_4/mx2  evMUX2_1_50  TSMC13_Conservative typical library default
adder/adder_4/mx3  evMUX2_1_49  TSMC13_Conservative typical library default
adder/adder_4/mx4  evMUX2_1_48  TSMC13_Conservative typical library default
adder/adder_5      evLPFA_10    TSMC13_Conservative typical library default
adder/adder_5/inv  evCINV_10    TSMC13_Conservative typical library default
adder/adder_5/mx1  evMUX2_1_47  TSMC13_Conservative typical library default
adder/adder_5/mx2  evMUX2_1_46  TSMC13_Conservative typical library default
adder/adder_5/mx3  evMUX2_1_45  TSMC13_Conservative typical library default
adder/adder_5/mx4  evMUX2_1_44  TSMC13_Conservative typical library default
