
************************************************
Report:               average power
Design:               evlpMultiplier
Library File(s):      /home/cad/TSMC/13/synopsys/slow.db
Simulation period[1]: 0 ns - 127701 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Mon Jul 23 16:14:28 2007
************************************************

operating_condition_max_name: slow Library: slow

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier TSMC13_Conservative slow library default
hot_B_bit_ff       evMS_FlipFlop TSMC13_Conservative slow library default
src_sel_mux        evMUX2_1_169 TSMC13_Conservative slow  library default
adder              evlpRCAdder_wdt32 TSMC13_Conservative slow library default
adder/adder_0      evLPFA_31    TSMC13_Conservative slow  library default
adder/adder_0/inv  evCINV_31    TSMC13_Conservative slow  library default
adder/adder_0/mx1  evMUX2_1_135 TSMC13_Conservative slow  library default
adder/adder_0/mx2  evMUX2_1_134 TSMC13_Conservative slow  library default
adder/adder_0/mx3  evMUX2_1_133 TSMC13_Conservative slow  library default
adder/adder_0/mx4  evMUX2_1_132 TSMC13_Conservative slow  library default
adder/adder_1      evLPFA_30    TSMC13_Conservative slow  library default
adder/adder_1/inv  evCINV_30    TSMC13_Conservative slow  library default
adder/adder_1/mx1  evMUX2_1_131 TSMC13_Conservative slow  library default
adder/adder_1/mx2  evMUX2_1_130 TSMC13_Conservative slow  library default
adder/adder_1/mx3  evMUX2_1_129 TSMC13_Conservative slow  library default
adder/adder_1/mx4  evMUX2_1_128 TSMC13_Conservative slow  library default
adder/adder_2      evLPFA_29    TSMC13_Conservative slow  library default
adder/adder_2/inv  evCINV_29    TSMC13_Conservative slow  library default
adder/adder_2/mx1  evMUX2_1_127 TSMC13_Conservative slow  library default
adder/adder_2/mx2  evMUX2_1_126 TSMC13_Conservative slow  library default
adder/adder_2/mx3  evMUX2_1_125 TSMC13_Conservative slow  library default
adder/adder_2/mx4  evMUX2_1_124 TSMC13_Conservative slow  library default
adder/adder_3      evLPFA_28    TSMC13_Conservative slow  library default
adder/adder_3/inv  evCINV_28    TSMC13_Conservative slow  library default
adder/adder_3/mx1  evMUX2_1_123 TSMC13_Conservative slow  library default
adder/adder_3/mx2  evMUX2_1_122 TSMC13_Conservative slow  library default
adder/adder_3/mx3  evMUX2_1_121 TSMC13_Conservative slow  library default
adder/adder_3/mx4  evMUX2_1_120 TSMC13_Conservative slow  library default
adder/adder_4      evLPFA_27    TSMC13_Conservative slow  library default
adder/adder_4/inv  evCINV_27    TSMC13_Conservative slow  library default
adder/adder_4/mx1  evMUX2_1_119 TSMC13_Conservative slow  library default
adder/adder_4/mx2  evMUX2_1_118 TSMC13_Conservative slow  library default
adder/adder_4/mx3  evMUX2_1_117 TSMC13_Conservative slow  library default
adder/adder_4/mx4  evMUX2_1_116 TSMC13_Conservative slow  library default
adder/adder_5      evLPFA_26    TSMC13_Conservative slow  library default
adder/adder_5/inv  evCINV_26    TSMC13_Conservative slow  library default
adder/adder_5/mx1  evMUX2_1_115 TSMC13_Conservative slow  library default
adder/adder_5/mx2  evMUX2_1_114 TSMC13_Conservative slow  library default
adder/adder_5/mx3  evMUX2_1_113 TSMC13_Conservative slow  library default
